Lugares,Paises,Coordenadas,Temperaturas,Humedad
Castillo de San Pedro de la Roca,Santiago de Cuba,"(19.968284099999998, -75.86991363552517)",27.14,83
Cueva de las manos,Argentina,"(-47.1552731, -70.6559679)",3.04,74
Tiwanaku,Bolivia,"(-16.4994445, -68.1243969)",9.07,23
Paisaje cultural cafetero,Colombia,"(4.9828018, -75.6056022)",16.33,96
Ciudad de Cuzco,Perú,"(-13.5169353, -71.97927381639681)",7.12,83
Parque Nacional Tikal,Guatemala,"(17.1910467, -89.61489111940308)",22.86,96
Reserva de la Biósfera de la Mariposa Monarca,México,"(19.5241105, -100.20477526215062)",8.11,91
Ciudad Colonial de Santo Domingo,República Dominicana,"(18.4714798, -69.8868222)",26.96,91
Parque Nacional Torres del Paine,Chile,"(-51.0405776, -72.98465008755775)",0.92,93
Salvador,Brasil,"(-12.9822499, -38.4812772)",21.85,94
Rano Raraku,Isla de Pascua,"(-27.12194405, -109.28920072296226)",12.92,94
Quilotoa,Ecuador,"(-0.849151, -78.8970752)",5.61,91
Salar de Uyuni,Bolivia,"(-20.2030284, -67.51649986663654)",-4.09,64
Parque Nacional Tayrona,Colombia,"(11.323558049999999, -74.05180741693314)",26.03,89
Santuario de Las Lajas,Colombia,"(0.80560405, -77.58600824774796)",10.76,94
Glaciar Perito Moreno,Argentina,"(-50.574441050000004, -73.22900941283076)",-5.67,95
Cementerio de la Recoleta,Buenos Aires,"(-34.5873872, -58.393425532102555)",14.57,91
Fernando de Noronha,Brasil,"(-3.8545643, -32.37861623300567)",25.35,94
Salto del Ángel,Venezuela,"(5.9687371, -62.5361456)",16.6,98
Isla de Chiloé,Chile,"(-33.5439272, -70.6142294)",6.88,89
Machu Picchu,Perú,"(-13.164421950000001, -72.54508510173372)",12.46,87
Los Roques,Venezuela,"(11.8382889, -66.6391165)",27.28,87
Valle de la Luna,Chile,"(-22.9316208, -68.3087226)",7.67,13
Cartagena,Colombia,"(10.4266746, -75.5443419)",26.97,94
Cataratas Kaieteur,Guyana,"(5.1749417, -59.4806521)",21.72,98
Cotopaxi,Ecuador,"(-0.8268521, -78.8937757)",8.14,91
San Pedro de Atacama,Chile,"(-22.910832, -68.2001376)",8.57,14
Mendoza,Argentina,"(-34.787093049999996, -68.43818677312292)",9.64,69
Valparaíso,Chile,"(-33.0458456, -71.6196749)",8.69,93
Laguna Colorada,Bolivia,"(-22.20632345, -67.77939848263483)",0.74,18
Jardim Botânico,Río de Janeiro,"(-22.9636362, -43.2233457)",19.82,76
Caño Cristales,Colombia,"(2.264672, -73.787578)",20.97,99
Islas Galápagos,Ecuador,"(-0.62881505, -90.3638752022324)",20.75,95
Paraty,Brasil,"(-23.2196461, -44.7154196)",17.65,93
Colonia del Sacramento,Uruguay,"(-34.4698592, -57.8433679)",14.88,86
Monte Roraima,Venezuela,"(5.1939098, -60.74067150516987)",7.22,98
Bariloche,Argentina,"(-41.1334421, -71.3098425)",6.14,77
Museo de Arte Tigre,Buenos Aires,"(-34.40905895, -58.590887478306755)",14.52,91
El Tatio,Chile,"(-22.33842585, -68.02647892082052)",-0.22,20
Monasterio de Santa Catalina,Arequipa,"(-16.395149250000003, -71.53655815881572)",13.54,36
Salta,Argentina,"(-25.1076701, -64.3494964)",16.9,76
Lago Titicaca,Perú,"(-15.91575335, -69.29295723832243)",9.43,40
La Paz,Bolivia,"(-16.4955455, -68.1336229)",8.6,23
Cabo Polonio,Uruguay,"(-34.4028524, -53.7825007)",13.96,88
Ostrov Navarino,Chile,"(-55.1122988, -67.60622943544601)",5.14,73
Catedral de Sal,Zipaquirá,"(5.0187088, -74.0103258)",10.7,97
Mindo,Ecuador,"(-0.0529382, -78.7746504)",21.26,89
Iquitos,Perú,"(-3.749365, -73.2444145)",23.02,94
